group,age,income,credit_score,debt_ratio,employment_years,approved
Group_A,32,58409.83,602,0.35,4.9,1
Group_B,36,76584.29,564,0.411,6.0,1
Group_B,44,85390.22,622,0.383,4.3,1
Group_B,39,81860.62,634,0.445,2.6,1
Group_A,28,64977.79,558,0.228,3.0,1
Group_A,51,74390.99,671,0.308,6.6,1
Group_A,41,48471.12,746,0.553,5.4,1
Group_B,37,63031.11,590,0.52,8.1,0
Group_B,43,38556.78,686,0.352,6.2,1
Group_B,57,61128.34,708,0.32,6.3,1
Group_A,36,61595.64,674,0.483,8.4,1
Group_B,26,90998.31,693,0.687,11.7,1
Group_B,28,55878.31,694,0.223,11.8,1
Group_A,45,61620.77,623,0.416,11.4,1
Group_A,38,64265.31,785,0.354,9.5,1
Group_A,45,51813.23,767,0.166,14.3,1
Group_A,32,45555.13,763,0.02,7.8,1
Group_B,35,83378.6,751,0.28,7.3,1
Group_A,46,42343.49,570,0.13,15.0,0
Group_A,46,36097.47,745,0.139,0.0,1
Group_B,52,72244.78,726,0.41,5.1,1
Group_A,30,80840.67,572,0.604,11.0,1
Group_A,36,51874.63,665,0.253,9.9,1
Group_A,27,52151.04,699,0.368,16.3,1
Group_A,37,65085.78,797,0.405,6.4,1
Group_B,43,47258.65,731,0.512,4.3,1
Group_A,46,45929.17,619,0.517,4.7,0
Group_B,41,75832.67,799,0.145,7.3,1
Group_B,42,70928.36,683,0.533,12.5,1
Group_A,27,83600.86,662,0.378,12.5,1
Group_B,34,37453.4,657,0.078,5.8,1
Group_A,35,50955.68,566,0.309,7.0,1
Group_A,27,65061.23,672,0.291,3.6,1
Group_B,29,43338.82,715,0.481,4.0,1
Group_B,28,71550.37,653,0.419,10.2,1
Group_B,43,82043.29,709,0.616,12.4,1
Group_A,49,49499.56,619,0.664,3.2,1
Group_A,38,60694.65,670,0.769,7.0,0
Group_B,51,86201.14,702,0.522,5.0,1
Group_A,50,92386.89,693,0.212,9.5,1
Group_A,59,73424.42,568,0.1,4.4,1
Group_A,55,70681.73,649,0.71,0.0,0
Group_A,38,44632.74,797,0.284,10.0,1
Group_B,59,66465.77,646,0.308,4.8,1
Group_A,37,70022.78,681,0.144,5.2,1
Group_B,34,56213.34,674,0.702,7.7,0
Group_A,51,49294.03,790,0.386,7.4,1
Group_B,44,36936.64,770,0.549,7.8,1
Group_B,55,28720.86,737,0.246,0.0,1
Group_A,54,24938.1,612,0.586,8.2,0
Group_B,23,70429.97,705,0.149,0.0,1
Group_B,57,62658.59,720,0.074,9.1,1
Group_B,60,51291.4,631,0.345,10.5,1
Group_B,46,54033.79,619,0.176,0.5,0
Group_B,43,63788.47,799,0.316,7.3,1
Group_B,59,57037.86,659,0.403,10.2,1
Group_A,35,35870.04,793,0.189,4.2,1
Group_A,24,76434.0,750,0.179,8.7,1
Group_A,49,65474.27,709,0.307,0.0,1
Group_A,42,64786.17,712,0.33,10.4,1
Group_A,45,75076.13,582,0.28,6.1,1
Group_A,33,45354.38,694,0.416,5.0,1
Group_B,38,81847.17,779,0.439,9.9,1
Group_A,53,57479.23,728,0.377,12.9,1
Group_A,36,75994.78,691,0.191,7.9,1
Group_B,22,73220.08,800,0.55,12.4,1
Group_A,55,41301.57,667,0.128,0.0,1
Group_B,54,69052.21,637,0.26,8.7,1
Group_A,50,65872.94,691,0.161,5.5,1
Group_B,33,60545.61,734,0.155,2.8,1
Group_B,33,58301.31,560,0.07,0.0,1
Group_A,38,58453.92,700,0.12,8.4,1
Group_A,52,74628.41,737,0.217,9.5,1
Group_B,52,70402.39,661,0.437,11.4,1
Group_B,55,60548.62,757,0.283,10.7,1
